2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
sh.600621,sh.600639,sh.600660,sh.600653,sh.600675,sh.600827,sh.600900,sh.600997,sh.601118,sh.601198,sh.601211,sh.601229,sh.601238,sh.601236,sh.601600,sh.601727,sh.601878
sh.600627,sh.600642,sh.600663,sh.600655,sh.600688,sh.600832,sh.600970,sh.600999,sh.601158,sh.601211,sh.601216,sh.601288,sh.601288,sh.601238,sh.601601,sh.601766,sh.601881
sh.600628,sh.600643,sh.600675,sh.600660,sh.600690,sh.600837,sh.600971,sh.601001,sh.601166,sh.601216,sh.601225,sh.601318,sh.601318,sh.601288,sh.601607,sh.601788,sh.601888
sh.600631,sh.600649,sh.600685,sh.600663,sh.600694,sh.600839,sh.600997,sh.601006,sh.601168,sh.601225,sh.601258,sh.601328,sh.601328,sh.601298,sh.601618,sh.601799,sh.601898
sh.600635,sh.600653,sh.600688,sh.600664,sh.600717,sh.600859,sh.600999,sh.601009,sh.601169,sh.601231,sh.601288,sh.601333,sh.601333,sh.601318,sh.601628,sh.601800,sh.601899
sh.600637,sh.600655,sh.600690,sh.600674,sh.600718,sh.600863,sh.601001,sh.601018,sh.601179,sh.601238,sh.601318,sh.601336,sh.601336,sh.601319,sh.601633,sh.601808,sh.601901
sh.600639,sh.600660,sh.600694,sh.600675,sh.600737,sh.600875,sh.601006,sh.601088,sh.601186,sh.601258,sh.601328,sh.601375,sh.601360,sh.601328,sh.601658,sh.601816,sh.601916
sh.600642,sh.600662,sh.600717,sh.600685,sh.600739,sh.600879,sh.601009,sh.601098,sh.601216,sh.601288,sh.601333,sh.601377,sh.601377,sh.601336,sh.601668,sh.601818,sh.601919
sh.600643,sh.600663,sh.600718,sh.600688,sh.600741,sh.600881,sh.601018,sh.601099,sh.601225,sh.601318,sh.601336,sh.601390,sh.601390,sh.601360,sh.601669,sh.601838,sh.601939
sh.600649,sh.600675,sh.600739,sh.600690,sh.600748,sh.600887,sh.601088,sh.601101,sh.601231,sh.601328,sh.601377,sh.601398,sh.601398,sh.601377,sh.601688,sh.601857,sh.601966
sh.600652,sh.600685,sh.600741,sh.600694,sh.600779,sh.600893,sh.601098,sh.601106,sh.601258,sh.601333,sh.601390,sh.601555,sh.601555,sh.601390,sh.601696,sh.601872,sh.601985
sh.600653,sh.600688,sh.600747,sh.600717,sh.600795,sh.600895,sh.601099,sh.601111,sh.601288,sh.601336,sh.601398,sh.601600,sh.601600,sh.601398,sh.601698,sh.601877,sh.601988
sh.600654,sh.600690,sh.600748,sh.600718,sh.600804,sh.600900,sh.601101,sh.601117,sh.601299,sh.601377,sh.601555,sh.601601,sh.601601,sh.601555,sh.601727,sh.601878,sh.601989
sh.600655,sh.600694,sh.600761,sh.600737,sh.600808,sh.600970,sh.601106,sh.601118,sh.601318,sh.601390,sh.601600,sh.601607,sh.601607,sh.601577,sh.601766,sh.601881,sh.601995
sh.600660,sh.600717,sh.600770,sh.600739,sh.600809,sh.600971,sh.601111,sh.601139,sh.601328,sh.601398,sh.601601,sh.601608,sh.601611,sh.601600,sh.601788,sh.601888,sh.601998
