,add,intersection
2020-07-02,1.4599067023770533e-06,9.392437869043818e-05
2020-07-03,1.3874866729207122e-05,0.0
2020-07-06,0.00026240041906760194,0.0
2020-07-07,0.0,0.0
2020-07-08,3.015875176165314e-05,0.0
2020-07-09,0.0,0.0
2020-07-10,0.0,0.0
2020-07-13,1.1187244280758724e-05,0.0
2020-07-14,0.0,0.0
2020-07-15,0.0,0.0
2020-07-16,-2.4483286861887796e-05,0.0
2020-07-17,-0.0003036794229477165,0.0
2020-07-20,0.00024783412247071006,-1.5443354936105583e-05
2020-07-21,-7.601405867124765e-05,0.0
2020-07-22,0.00039779663327640984,0.0
2020-07-23,-5.012206212472753e-06,0.0
2020-07-24,-0.00010761682368103346,-7.775889170684971e-05
2020-07-27,-0.00023868484999678007,0.00019644034176599846
2020-07-28,-0.001214476245350293,-4.690943662412725e-05
2020-07-29,-0.000181168403192741,-0.00013104742494647397
2020-07-30,-6.671614103056199e-06,-0.00012865694197941073
2020-07-31,-0.022031865996370806,-0.0004884381781371874
2020-08-03,-6.132521545093968e-06,-9.689964285475703e-06
2020-08-04,-0.004480121351266972,0.0
2020-08-05,4.980066404967518e-05,-3.7400624732627624e-06
2020-08-06,-9.179350187539601e-05,-0.0014273018126194372
2020-08-07,-4.926477452630714e-05,-1.0445381716007131e-05
2020-08-10,-1.8031765743214914e-05,-1.181268487246091e-05
2020-08-11,0.00012559785125518719,0.0
2020-08-12,0.0,4.5407785671246765e-05
2020-08-13,-2.3360190252905776e-05,0.0
2020-08-14,-2.9538284050371485e-05,-0.00019661498588347052
2020-08-17,9.556405870116356e-06,2.8576204210890428e-05
2020-08-18,0.00011738105439320577,4.090407176140442e-06
2020-08-19,0.0022217164026429852,2.9582707336872806e-06
2020-08-20,0.00852151808087348,1.6428835627184472e-05
2020-08-21,0.0021174664112352994,0.007948031530040523
2020-08-24,0.0011725903019317377,0.0010490305367419782
2020-08-25,0.0,0.0
2020-08-26,-0.00019250171151310118,6.393339460664006e-05
2020-08-27,6.219833203368935e-05,0.0041500277746436415
2020-08-28,0.005532546661956327,-4.034780971457065e-05
2020-08-31,0.00037392646114351195,0.00014129621147504853
2020-09-01,0.014626772480279451,-0.0002956642024756217
2020-09-02,0.0029145093980682325,0.001744482628996171
2020-09-03,0.0032149682907853397,0.0004302330813444724
2020-09-04,0.00854948493070601,0.0012490747560649751
2020-09-07,0.0009481382980775049,-0.0002495025260971435
2020-09-08,0.03644934353273753,0.001928204228155869
2020-09-09,0.0009074919200371658,0.0001159939247513341
2020-09-10,0.02228079806033657,0.0006540162709689436
2020-09-11,8.96056449106e-06,0.00022434622053620773
2020-09-14,0.0007208829770594581,0.008274778281906224
2020-09-15,0.0003428988152605034,0.009150631956894455
2020-09-16,0.0016918880206760476,0.0017939412719400695
2020-09-17,0.0005827321493774635,0.006897177585209138
2020-09-18,0.0023709138646614315,0.00098713972013431
2020-09-21,0.0001500965045429612,0.0
2020-09-22,0.000176019002402377,0.0008073120856801713
2020-09-23,0.0005407156110943506,0.0034153472385424167
2020-09-24,-0.00235906654064195,0.0005336172077863077
2020-09-25,0.0010642053613019833,0.0019873189615322697
2020-09-28,0.003553464249670808,0.012741995305788706
2020-09-29,0.0032646509738191356,0.0013985106069408688
2020-09-30,-0.0015096798205105513,5.8570158582143324e-05
2020-10-09,0.003764596677180167,0.0032232255021259985
2020-10-12,0.0001891404743985624,0.0016930534017976086
2020-10-13,-0.0002284068760662115,-0.00015490010031548375
2020-10-14,0.00025886702367181817,-9.092826140152131e-05
2020-10-15,0.0004739369153488982,0.0017809124689846358
2020-10-16,-0.0002812779770272945,-8.031262021236902e-05
2020-10-19,1.0229849989962356e-05,0.0
2020-10-20,0.0001513900840910424,0.0012265434156359817
2020-10-21,0.004760770840033951,0.00029315032306445203
2020-10-22,-0.0022934411028968154,0.00015999127946074378
2020-10-23,0.0005721676565291112,-0.001076583303161957
2020-10-26,-9.090232526455083e-05,0.0025175794528304813
2020-10-27,-0.0009026590805734226,6.76216239878565e-06
2020-10-28,-0.0008393779832595464,-0.000272792189351999
2020-10-29,-0.0023360295377474138,-0.0007642784278104925
2020-10-30,0.002007688343717635,-0.00040156130429117444
2020-11-02,-0.00045963472120963704,0.0016261785329572107
2020-11-03,0.013295577102264025,-0.000269192469407316
2020-11-04,9.918612656858807e-05,-6.667489323742205e-06
2020-11-05,0.00020965063481580686,0.0022429986063906963
2020-11-06,0.000419762375963039,0.0007351709712489313
2020-11-09,0.00010363570446034752,0.0
2020-11-10,0.0,0.0
2020-11-11,8.704998626487847e-05,0.0
2020-11-12,-0.00012643932768004095,4.1229392824208784e-05
2020-11-13,-0.0010409942091316971,0.001106841593716872
2020-11-16,1.8618279514091103e-05,1.6456514261207088e-05
2020-11-17,0.0018761072502114326,0.010704796551387449
2020-11-18,-0.0002578036303080676,-0.000998891459100144
2020-11-19,-0.0003578319963700636,-0.0007366178151861546
2020-11-20,-0.0004028075460012082,0.003089933491687564
2020-11-23,1.6160920399160784e-05,0.0
2020-11-24,-0.00011558287202725719,0.0028523013387686375
2020-11-25,-0.0011725503169074123,0.0
2020-11-26,-4.018770968935639e-05,-0.001018229930962198
2020-11-27,-0.0003185881914254405,0.0
2020-11-30,-1.7455082930004865e-05,0.0
2020-12-01,2.7057940070012928e-05,-0.00013118912013055582
2020-12-02,7.550283845527572e-06,0.0
2020-12-03,-1.8876119900935728e-05,-1.954114467784943e-05
2020-12-04,-3.3468698702284796e-05,-1.2891942554954245e-05
2020-12-07,-0.0008813672788337296,0.0
2020-12-08,-0.0009317533288485954,-0.0005483612847077092
2020-12-09,-0.0003618070745701268,4.413923898252281e-05
2020-12-10,-0.0007614993122986875,-9.370910132318797e-06
2020-12-11,-0.0006192926674889023,-0.00037574171959685516
2020-12-14,-0.0015465856317129023,0.0003504456431990011
2020-12-15,-2.281803630683916e-05,-0.0009945583850496655
