,10_20,10_30,10_60,5_20,5_30,5_60
2016-09-13,0.021217844914195122,-5.8374967767071166e-05,-0.00020148693414432,-0.0002614707123484796,0.0015707679901910709,-9.154240286375746e-05
2016-09-14,-0.0013412950787301794,4.606487607116485e-05,-0.0007348904797615354,-0.00029594440514789616,-0.00023240280271931348,-0.00011587446170963058
2016-09-19,0.004905495547474929,0.002167721506821635,0.0017520671700187256,-0.00021954299838402615,0.0018588630906708722,0.0026580600850633325
2016-09-20,-0.00048768748593012274,0.000759162847507051,2.5963188762775452e-05,-0.0009604411125705863,0.000718199404667161,0.0009745669863781562
2016-09-21,0.0006583348625995329,0.0008734648063830995,-0.00042441103313261414,-0.00034017571960466076,0.004876981825173538,0.001575091142767125
2016-09-22,0.00016040954840728706,0.0022165823985865305,-0.00011893473734125287,0.00012297255389972052,-0.00011950353048529157,0.000419274422201495
2016-09-23,-3.938065036214556e-05,0.00491145110361112,0.002477662945994806,0.0004950936166546114,0.000797378828446017,0.00036895558848576567
2016-09-26,0.00010195725524813151,-0.0006134549743443794,0.0005804228308285862,2.158430365504263e-05,3.4463107677055754e-05,0.003766639639802096
2016-09-27,-2.6767877020103973e-07,0.003932261291990461,0.001150675321257072,-0.0002458612089264936,0.00015358688117779072,0.001084119320062862
2016-09-28,-0.00019929063077871265,-0.0002241844593838822,-9.12699615897317e-05,-0.0001615378656384075,0.0008923059842416012,7.585132503899708e-05
2016-09-29,-0.0001399909116721283,-2.3482218926270128e-05,0.00018236676270336793,-0.00039341221867291603,-0.0003059780913689425,0.0020134029526868574
2016-09-30,-0.00023015129851817928,-0.00012200538681243443,-3.341140646245797e-05,0.00033767589681421264,9.555522125539076e-05,0.0002187200235833102
2016-10-10,0.0005256246877923199,0.0009383589924325841,0.00425665483715799,0.00030034430454774615,0.00023312471294796342,0.004253120149584584
2016-10-11,1.911563587144487e-05,-0.00010019954900586934,0.00030128447369573034,0.0009449488534743911,5.865636941979891e-05,8.349506110454811e-05
2016-10-12,8.345644127920385e-05,0.00021258066679001077,-0.0001317438590993617,-5.04495009950608e-05,0.0006316204273841896,6.534321339453134e-05
2016-10-13,0.0005082615257589858,3.244263195722817e-05,0.0013670338871875128,0.0,8.761086680670935e-05,7.502349702715742e-05
2016-10-14,1.92785990077461e-05,5.137816697502285e-05,0.00024129943496828786,-3.485164283770975e-05,0.0,4.8665197219754805e-05
2016-10-17,-3.584246239034392e-05,0.0,0.0015557631027956933,2.0105644141619514e-05,-0.0001621328276850889,0.0
2016-10-18,0.00043114380073528536,0.0006573069052371689,0.00012649359777129065,-0.00025143144345763193,5.179831687596685e-05,0.00048535680541764007
2016-10-19,-0.0004638380488335415,1.742868338691417e-05,0.0003715615367445504,0.000611538926374665,0.00022025425664816257,0.00027918452318216244
2016-10-20,-4.959611840290966e-05,0.0,9.2453300862756e-06,-8.244584622862144e-05,0.00016174625108076625,0.0
2016-10-21,0.0005673725205125985,0.0002456971260601991,2.410956144660991e-05,-0.00015817164394844635,0.0006196505239498164,0.0005993750269518476
2016-10-24,0.0005281131796842866,-0.00014986571419993924,0.00028879211550035153,-0.0001909775517909698,-0.00014237428034768052,-0.0001680065849035486
2016-10-25,0.0005028220543180728,0.0,0.000921454328651851,-2.1700873059964834e-05,-6.404363770442586e-06,1.413386529274139e-05
2016-10-26,0.00025547201366593467,0.0020342323225125826,0.00017468931613723014,0.00011944850989756856,-2.0758047155044877e-06,2.4096208447560883e-05
2016-10-27,0.0006772571549302051,0.0009275582145748793,0.0,-0.0022109988129331744,-8.38210636113273e-05,-3.3549541012089274e-05
2016-10-28,-5.732034543018747e-05,4.651144323285113e-06,0.0006944133835039703,0.0,1.2384589612844817e-05,0.0
2016-10-31,-3.678676817645626e-05,-6.876761567094881e-05,0.0,-4.654704061976327e-06,0.0005577241227968702,0.00017738469349682
2016-11-01,-0.0001291756943721649,0.0,1.2244332008184244e-05,-1.7363553497355685e-05,-4.912411252378846e-05,0.0014811218710287265
2016-11-02,3.1413849535058287e-06,-0.00017529734032399477,0.0,1.0401775900802447e-05,0.020830540755824162,0.00024867134869717005
2016-11-03,-0.003169668471785138,0.000327930412836212,0.00023075361905032954,-0.0005005807958754032,0.001774772866236643,0.0009161195748033996
2016-11-04,0.00013651275502156354,-4.419868464811221e-05,0.0002524002568427779,-0.0007757672207543732,0.0003751941789288236,0.00036281713976503253
2016-11-07,-0.00035983455132569095,-0.00011570740759791182,0.0012771293527709452,-0.0010150419068847471,-0.00010927751131204674,1.357548430355654e-05
2016-11-08,0.000180046627631321,0.0,0.0004299328160025111,-0.00020290188131672494,0.00026363924671420736,-0.0005775465876457768
2016-11-09,-0.0007309772659485406,-0.0026506338085167717,-6.183518852361461e-05,-0.0013096004448706557,-0.00020239512726046412,1.6313500026002883e-06
2016-11-10,-2.0673740329490973e-05,0.00038559338132712005,0.0010244518787404435,0.00031818640398768107,-4.187593239847284e-05,-7.886777085760366e-05
2016-11-11,0.00016537980217513454,0.00015271629090879223,4.6382812427834755e-05,3.776626598549053e-05,3.0464703224335763e-05,0.0
2016-11-14,5.113881795685213e-05,-6.853741470840691e-05,0.0003875071684465346,0.00018382430994462785,-0.0001523803450371062,-9.156611825573282e-08
2016-11-15,0.0001281271084527802,8.428155424137384e-05,-0.00015530572880184364,0.00025105299324730806,6.65016370441297e-06,0.0
2016-11-16,0.0001229788469091124,0.00012224512355795902,0.001276150980730164,5.7945488656300606e-05,0.00018612291541250393,5.6481751471564334e-05
2016-11-17,0.0010813806420211065,5.225321681597055e-06,9.614743205820138e-05,2.964273064749057e-06,-5.73389211390003e-05,-3.431197407068358e-05
2016-11-18,-1.5885292848639986e-05,0.0,0.0,-0.00021681939392061383,0.0004960852942558405,0.0
2016-11-21,0.00020970701289135468,0.001631740408957102,3.19337418548903e-05,0.000252131659963305,-2.0392903313747838e-05,-2.67358605363978e-06
2016-11-22,-0.0002751713844034104,-6.723161179865658e-05,-5.36927929092814e-07,0.0004314789307895954,3.5496091147197824e-06,8.620591044987379e-06
2016-11-23,0.00030345900863836705,1.5175103266623093e-05,1.7943127660651016e-05,0.0004942571193838622,-1.7112863108459274e-05,0.00016488862753968756
2016-11-24,0.0003295770695187077,0.0,0.0,0.0017830998191376817,0.0001385157579579248,0.0
2016-11-25,-1.1560533360203084e-05,-4.905322040445449e-06,0.0,0.00011297117432597511,-2.8066451583949754e-05,0.0
2016-11-28,0.0005192318076878739,-0.00016386883576627155,3.3001778376315765e-05,0.00013751517628631066,-5.59981786282529e-07,-4.568452970323686e-05
2016-11-29,0.0005064399496702779,0.0,0.00023093660336333938,0.00014257300754468694,0.0004960177646075416,0.000184087237680342
2016-11-30,-2.317208984148245e-05,-0.00010739727530875858,0.0,1.6305569668205065e-05,-4.961040451123945e-06,2.3090563026191286e-05
2016-12-01,-0.00014623654371936264,-0.00011289578372942235,-5.8065451991985195e-05,0.0003043922618956511,-0.000174468445830286,0.000640259427655013
2016-12-02,-4.117035792527071e-05,-1.8063498024007104e-05,0.0,-7.257556560406035e-05,-1.2719808013631794e-05,-0.0002472883480079463
2016-12-05,0.00023449284876454526,-6.59985041079878e-06,0.00010198463099382086,-2.4773103087623038e-05,0.001158201817806384,0.00022572457394849513
2016-12-06,5.168099392199221e-05,0.00014508249257771987,0.0,-0.0005474350390319153,-0.00012565516819527267,-0.000215094659910681
2016-12-07,0.0007682163126120741,-8.151016637773304e-05,2.210365800929721e-05,0.0015832025598577154,5.720059435561427e-05,0.0009029025505712336
2016-12-08,0.00016598556264665957,-0.0002457543371312496,0.0004104672581331358,-0.008905646529080068,0.00022411620077753894,-0.00014212144536396968
2016-12-09,7.95308580877276e-05,5.479606562381756e-07,-0.0001945802084569754,-0.00011697713505545924,-0.0003592088521908045,-0.00040637961825069565
2016-12-12,-0.000876861541673287,-0.00014184743973869206,0.00018180713692941865,-0.0010239663133820736,-0.017186428697865557,-0.0003484979412618267
2016-12-13,-0.0003840078276157931,-0.0003334904587984536,3.671981840697302e-05,-0.0016875555435959624,-0.0019991576763925775,0.07969108572245769
2016-12-14,-0.020745325324059777,-0.0004913334613652405,-0.00035242592584878914,-0.0014907513709142978,-0.0010514854740591298,0.00042035946995274933
2016-12-15,-0.001116737982896866,-0.0005967064761718225,-0.00014970138786421427,-0.001955172335190481,-0.0013682992466053836,-0.0009902348052155327
2016-12-16,-0.0007323911730124856,-0.022269162449187467,-0.00029494390261278046,0.0008730111960530554,-0.00043491934982747756,-0.0007178553557914862
2016-12-19,-0.0021895698651728415,-0.0005937915853171593,0.06825086721860314,0.0007919825976922965,-0.0008324755412254355,-0.0010757432890236285
2016-12-20,-0.00012090143818731658,-0.0019071918291395907,-0.0004184356076112175,0.016170769519428807,0.0011108427127578821,7.578623343037588e-05
2016-12-21,-0.0009056000542281641,0.001697354400645158,-0.001397821647119455,8.94941078199177e-05,0.003663155650617589,0.0010418534431081371
2016-12-22,-7.213267029337474e-05,0.000464335054687707,0.0008968665936101381,-0.0008837902059413651,-0.0003876099531754852,-0.0010882148470932544
2016-12-23,-0.001113626520281014,-0.001106457383150732,-0.0011759862700399582,0.0009430223342707551,0.0038686139320613664,-6.953898488793362e-05
2016-12-26,-0.00042045400079289056,-0.0010355881133235698,-0.0008385722718192006,3.1362260958982656e-05,0.0002610804027322602,-0.0033187813338909425
2016-12-27,0.006531480171191594,-0.0002369068037568607,0.0010746754455506326,0.00013396762249921076,0.000400323729303967,0.0012563271898908101
2016-12-28,-0.0005129587778716147,-0.0011760155224299041,-0.0009108703908359229,0.0003777365939300492,-0.00016098173964964582,0.00011578335348435635
2016-12-29,-0.0016203663756793009,0.0032497326855434397,0.0008284752107866185,-2.008758631826161e-05,0.0005567034519866287,0.0003720716351879102
2016-12-30,0.00036151317956994094,-7.66440796609282e-06,-0.001979582644116019,0.00016047535812213268,0.00017201533817791132,0.00020825835118273622
2017-01-03,3.645748845035127e-05,0.009475317715053643,-0.00018218396709178855,0.00011750314372552068,0.0005003154605370867,0.001542666816729617
2017-01-04,0.00012800215417521074,0.00022723349214685612,-0.003619632476182437,0.0,0.0,0.00011740673158912514
2017-01-05,9.445921040855618e-05,0.00019816092439522355,0.0012108909836313457,-2.859984410310465e-05,0.0,4.515323684732938e-05
