stock_code,判断准确率,回测起始日期,回测截止日期,总收益率,年化收益率,最大回撤率,最大回撤开始日期,最大回撤结束日期,年化超额收益率,信息比率,总天数,交易天数,交易频率,胜率,盈亏比,夏普比率,年化主动投资收益率
300223,0.479,2012-04-09,2019-12-31,0.5432,0.069,0.524,2012-07-03,2014-12-26,-0.3484,-0.47,1639,69,0.04,0.5652,1.06,0.15,-0.5066
300274,0.5213,2012-04-10,2019-12-31,1.0156,0.0998,0.4932,2015-05-27,2018-08-22,-0.0636,-0.1,1857,57,0.03,0.4912,1.61,0.25,-0.2907
300316,0.4871,2012-08-06,2019-12-31,-0.0297,-0.0045,0.6652,2015-05-22,2018-09-19,-0.2871,-0.48,1700,48,0.03,0.5625,0.89,-0.06,-0.4096
300347,0.4969,2012-11-16,2019-12-31,4.3518,0.3032,0.2169,2015-11-18,2016-01-04,-0.2264,-0.38,1596,88,0.06,0.5795,1.7,0.99,-0.3539
300408,0.4803,2015-03-06,2019-12-31,0.0327,0.007,0.5348,2015-06-03,2019-11-25,-0.1095,-0.21,1170,87,0.07,0.4598,1.34,-0.02,-0.2491
300413,0.4848,2015-04-23,2019-12-31,-0.5667,-0.2115,0.6953,2015-05-08,2019-01-09,-0.317,-0.41,887,36,0.04,0.3889,1.25,-0.46,-0.5163
300433,0.4968,2015-06-23,2019-12-31,-0.1655,-0.0411,0.5055,2015-06-23,2016-01-05,0.015,0.02,1087,33,0.03,0.3939,1.61,-0.16,-0.2302
300450,0.5206,2015-08-11,2019-12-31,1.3464,0.2625,0.2871,2015-08-11,2015-08-25,-0.0693,-0.09,922,29,0.03,0.5172,1.82,0.42,-0.2893
300454,0.5088,2018-08-09,2019-12-31,-0.0284,-0.0211,0.2215,2018-08-09,2019-05-13,-0.1456,-0.31,340,21,0.06,0.4286,1.39,-0.12,-0.2566
300496,0.4799,2016-03-11,2019-12-31,-0.2013,-0.0631,0.5588,2016-06-22,2018-10-22,-0.0768,-0.11,869,27,0.03,0.2963,2.59,-0.16,-0.317
