stock_code,判断准确率,回测起始日期,回测截止日期,总收益率,年化收益率,最大回撤率,最大回撤开始日期,最大回撤结束日期,年化超额收益率,信息比率,总天数,交易天数,交易频率,胜率,盈亏比,夏普比率,年化主动投资收益率
601878,0.4937,2017-09-18,2019-12-31,-0.2337,-0.1135,0.4818,2017-09-18,2018-10-29,0.1672,0.28,557,25,0.04,0.32,1.82,-0.33,0.0088
601881,0.5099,2017-04-26,2019-12-31,0.251,0.0897,0.2921,2017-09-28,2019-01-11,0.096,0.18,657,31,0.05,0.2903,3.78,0.22,-0.0837
601888,0.4912,2012-04-10,2019-12-31,0.9816,0.0992,0.3297,2018-06-28,2019-01-25,-0.2169,-0.47,1822,95,0.05,0.3789,2.52,0.31,-0.2785
601898,0.4875,2012-04-09,2019-12-31,-0.0094,-0.0013,0.3768,2015-05-27,2015-11-30,0.0582,0.14,1883,90,0.05,0.4333,1.44,-0.06,-0.0646
601899,0.5221,2012-04-10,2019-12-31,1.0309,0.1012,0.2759,2018-02-12,2018-12-28,0.0595,0.13,1852,71,0.04,0.4225,2.55,0.31,-0.0635
601901,0.4935,2012-04-09,2019-12-31,1.322,0.1277,0.3829,2013-04-08,2014-09-16,0.0155,0.02,1767,73,0.04,0.4247,2.66,0.21,-0.1666
601919,0.513,2012-04-10,2019-12-31,2.1261,0.18,0.3507,2015-05-29,2017-04-20,0.1763,0.26,1735,65,0.04,0.4154,3.66,0.31,-0.0179
601939,0.5151,2012-04-10,2019-12-31,1.5169,0.1315,0.1798,2015-07-06,2015-10-14,0.0114,0.03,1883,88,0.05,0.5227,2.02,0.48,-0.0522
601966,0.4749,2016-09-30,2019-12-31,-0.2493,-0.0888,0.434,2016-09-30,2019-01-03,-0.0282,-0.08,777,33,0.04,0.3333,1.44,-0.47,-0.1067
601985,0.4791,2015-09-07,2019-12-31,-0.3255,-0.0899,0.3749,2015-11-16,2019-01-24,0.0104,0.04,1054,54,0.05,0.3333,1.08,-0.81,-0.0453
